,Acqui-hire,A blend of acquired and hired.,Can't find the staff these days?  Not to worry. Just buy out the whole team
,BOHICA,An acronym muttered by the people who do the real work when senior managers announce their latest and greatest sales/customer service/quality initiative,"Often heard being muttered by the people who do the real work, when senior management announce the latest round of performance/sales/customer initiatives"
,Bomerang, An employee who leaves and comes back in the future.,An employee who leaves and comes back in the future
,Brown Bag Session,A meeting scheduled during lunch house in which the employee not only has to work but must bring his or her own lunch,"Not only a meeting scheduled during your lunch hour, but one in which you must bring your own lunch "
,BYOA,Bring Your Own Advil. Description for a task that's sure to give you a headache.,"Bring Your Own Aspirin. For this project, you're going to need it..."
,C-change,CEO-speak for replacing a fellow chief executive,Swapping one big cheese for another
,Capsizing,"The process of a company repeatedly reducing head count, but not the work, until it goes under.","Repeatedly reducing head count, but not the work, until the business eventually goes under"
,Carried a Bag,"A seasoned, outside salesperson, who has traveled extensively, been responsible for meeting a large quota and has the ulcers to prove it.",A hardcore salesman who has more than earned his airmiles
,CCYA,The act of Ccing an e-mail message to anyone even remotely involved in a decision or action in order to cover your own butt.,The act of copying the whole world and his dog into an email to cover your own butt
,Chasing Nickels Around Dollar Bills,"What a company's management does when it decides to trim small, trivial costs instead of cutting larger, more serious costs. ","Cutting small, trivial costs; instead of bigger, serious ones"
X,Chinese Wall,The ethical barrier between different divisions of a financial (or other) institution to avoid conflict of interest.,"Information barrier that keeps investors' actions secret from others in their company, to avoid conflict of interest"
,Circling the Drain,A term used to describe what a company does just before it goes down the tubes.,"Last ditch attempt at swimming, even when you know you're aboard a sinking ship"
,Coaster,"An employee with low ambition and, consequently, low productivity.",Someone whose low ambition makes for low productivity
,Cockroach Theory,"A market theory that suggests that when a company reveals bad news to the public, there may be many more related negative events that have yet to be revealed.","The theory that behind every bit of bad news, there's much more to be revealed.  As a wise man once said, ""There's never just one."" "
,Coin Operated,Description of someone whose sole motivation is money.,Only springs into life when money's involved
,Coma Factor,"The degree of dullness of a meeting, presentation or reading material","Degree of dullness. Applies to meetings, presentations, literature - potentially some colleagues..."
X,Consensus,"An opinion or position no one really loves, but everyone is able to live with.","The position that noone really loves, but everyone can live with"
,Credenza-Ware,"An organization's strategic plan that's displayed prominently behind an executive's desk, but sits untouched until it's updated the following year.","A company strategy that's prepared lovingly, displayed proudly on the walls - then never touched again. Until of course it's updated, the following year. See also 'Wallpaper'"
,Critical Path Analysis,"A project-management technique that lays out all the activities needed to complete a task, the time it will take to complete each activity and the relationships between the activities.","A fancy project management term for working out where we need to get to, and how we're going to get there"
,Crossfunctional,Picking from each department to create the perfect team,6 people from different disciplines in one room…often no by choice
X,Crowdfunding,The collective effort of individuals who network and pool their resources to support efforts initiated by other people or organizations.,The team effort by lots of individuals to support a person or company's initiative; by pooling thoughts and resources
,Defrag,"rest, relax and mentally recharge","Stop working, chill, recharge your brain"
X,Dial it Back,To tone down or take a step back,To take a step back
,Diplo-speak,"The coded language spoken by diplomats to ""send a message""   without actually committing to anything","Abbreviation of Diplomat-Speak: the langauge that can be spoken, without saying anything at all"
,Director of First Impressions,"A receptionist. Once the punch line of an Internet joke, it's now an actual job title at some companies.","Receptionist. Once the the punchline of a joke - now an actual job title! Who's laughing now? We're not sure, either"
,Disemvowelling,,"That thing you do when you want to write something rude like £%@*@ in an email without alerting IT. Yup, we're onto you"
X,Drinking the Kool-Aid,"Refers to a person or group holding an unquestioned belief, argument, or philosophy without critical examination.",Blind obedience and absolute faith in the latest business doctrine
X,Dummy Director,A person on a company's board of directors who votes and acts on the wishes of a non-board member.,A board member who acts on the wishes of someone outside of the top team - like a total dummy
X,Elevator Pitch,"A brief speech that outlines an idea for a product, service or project.","Brief speech outlining a product, service or idea - the way you would if you had just 60 seconds. In, say, an elevator..."
,Empire Building,The act of attempting to increase the size and scope of an individual or organization's power and influence.,"Trying to widen the scope of power and influence - of either an individual, or a company"
,Employer Brand,An organization's reputation as an employer,An organization's reputation as an employer
,Empower-ised,,A polite way of giving an employee more responsibility with zero pay rise
,Empty Suit,"Someone who is high up in a company due to unfair hiring practices, such as nepotism, and doesn't really do anything for the company.","Wishful term for the guy who does nothing much - but gets high up in the company, through unfair hiring"
,Farm Team,A baseball reference applied to businesses that train employees only to have them leave for competing firms.,A business that trains great employees - before they leave and join competing firms. Originally a baseball term
,Fat Cat,A word used to describe executives who earn what many believe to be unreasonably high salaries and bonuses. ,The executive with a ridiculously high salary or bonus - who generally gets more of the cream than they should
,Featherbedding,Term used to describe the practice of a labor union requiring an employer to hire more workers than necessary for a particular task.,Hiring someone unnecessarily - whose role it is to hire people unnecessairly - for one overstaffed project
,Ghost Work ,Doing the work of employees who have been fired or laid off.,Doing the work of employees who have been fired or laid off
X,Golden Handcuffs,A collection of financial incentives that are intended to encourage employees to remain with a company.,A set of financial perks intended to retain employees
,Golden Hello,A signing bonus offered to a candidate from a rival company.,"Reserved for a job candidate from a rival company, this is a special way of saying 'hi': with a huge signing bonus"
,Golden Life Jacket,An exceptional compensation package offered by the acquiring company to the top executives of the company being bought.,"Handier than it sounds: a financial package offered by an acquiring company, to the top team of the company they acquire"
,Gutter Bunnies,People who cycle to work,People who cycle to work. Wear a helmet please!
,Infomania,,Poor concentration as a result of the 400 unopened messages in your inbox
,Minergy,Someone who uses minimal energy to get the task accomplished.,The absolute bare minimum required to get the job done
,"The ""Ohno"" second",,The exact moment you realise you've made a big mistake
X,Open Collar Worker,Someone who works at home,Someone who works at home
,OT Mail,,Email sent at a god forbidden hour of the night to highlight to colleagues exactly how late one is working
,Post and Pray,To post a job and hope you have strong candidates apply.  ,To post a job and hope you have strong candidates apply
X,Powerpointless,,"A long, detailed Powerpoint presentation with many graphs, charts and animations but no actual purpose, relevance or significance"
,Ringxiety,,Always thinking it's your phone that's ringing in the office. It never is
,Salmon Day,,A metaphorical reference to spending the day swimming upstream only to die at the end
,Seagull Manager,,"A boss who flies in, makes a lot of noise, craps on everything, then leaves"
,Social Notworking,Spending time on social networks during working hours,Spending time on social networks during working hours
,Sync-up,the sharing of information between two (or more) people,The trendy way of sharing information. Circa 2013
X,Top to Top,A senior executive selling to the senior executives of a another customer. ,A senior executive selling to the senior executives of a another customer
,Torpedo,When a poor performing employee leaves to work for the competition,When a poor performing employee leaves to work for the competition. Boom!
,Voicism,,The act of discriminating against a colleague based on the annoying sound of their voice
,Wantrepreneur,,"Self proclaimed entrepreneur, usually found on Linkedin, with little evidence of any business actually being done"
,Workflower,,Someone who happily blends into the background at work without anyone knowing who they are or what they actually do
,Zero drag,An employee who has few responsibilities in their personal life such as children or spouses. This allows them to work more and travel with little advance notice. ,An employee who has few responsibilities in their personal life such as children or spouses. This allows them to work more and travel with little advance notice
