,Advermation,Any advertisement or marketing message that is presented to users as useful information.,"An advert, fused with (or disguised as) useful information"
X,Crowdfunding,The collective effort of individuals who network and pool their resources to support efforts initiated by other people or organizations.,The team effort by lots of individuals to support a person or company's initiative; by pooling thoughts and resources
,Cult Brand,A product or service that has an energetic and loyal customer base.,Most brands can but dream of reaching these lofty heights
X,Customer Experience," Sum of all experiences a customer has with a supplier of goods and services, over the duration of their relationship with that supplier. From awareness, discovery, attraction, interaction, purchase, use, cultivation and advocacy. It can also be used to mean an individual experience over one transaction; the distinction is usually clear in context.","Sum of all experiences a customer has with a supplier of goods and services, over the duration of their relationship with that supplier"
X,Digital Denial,The failure of a company or industry to accept that the Internet has changed the world and made their business model obsolete,Belligerent denial that the Internet has changed the world and refusal to adapt or accept change
,Digital Native,,Smartphone - check! 19 social media accounts - check! Multi-platform multitasking app loving person - check!
,Doorbuster,A marketing and sales strategy retailers use to get a high volume of customers into their stores.,The practise of offering too-good-to-be-true prices to customers to get them through the door
X,Drip-Marketing, Sending several marketing communications over a period of time to a subset of contacts, Sending several marketing communications over a period of time to a subset of contacts
X,Dynamic Content ,Dynamic content is content that is constantly changing.,Content that's constantly evolving
,E-Tailing,The sale of goods and services through the Internet.,Selling online
,Eating Your Own Dogfood,Using a product yourself which you sell to others,Using the product you're selling to others
X,Ecommerce,"A type of business model, or segment of a larger business model, that enables a firm or individual to conduct business over an electronic network, typically the internet.","A type of business model, or segment of one, that lets a company do business over networks like the internet"
,Elevator Pitch,"A brief speech that outlines an idea for a product, service or project.","Brief speech outlining a product, service or idea - the way you would if you had just 60 seconds. In, say, an elevator..."
,Employer Brand,An organization's reputation as an employer,An organization's reputation as an employer
,Enterprise 2.0,"the use of emergent social software platforms within companies, or between companies and their partners or customers","The use of social media in business: both b2b, and b2c. We like it"
,Eyeballs,The raw number of people that look at a website,People - when talking about the raw number of them that look at a website
X,Fire Sale,Selling goods or assets at heavily discounted prices.,Urgently selling goods at heavily discounted prices
,"First In, Still Here - FISH",An accounting buzzword that describe when companies still have inventory on hand that is not being sold due to inattention or obsolescence.,When companies still have inventory that's not being sold
X,First Mover,A form of competitive advantage that a company earns by being the first to enter a specific market or industry.,A company earns this competitive adventage by being the first to enter a specific market or industry
,Flashmob,,That over used idea of a bunch of people showing up at one place at one time…and doing something goofy
,Freemium," A business model where the basic offer is free, but charges a premium for additional  features or services.","It costs nothing, really. Oh, but you can't get the good stuff without opening your wallet"
,Friendquest,Requesting someone to be a friend and or buddy on an online social network. Reference to World of Warcraft game,A new red notification on facebook.  Your social network just got a little bit bigger…
,Game Changer,A company that alters its business strategy and conceives an entirely new business plan.,"A company that alters its business strategy and in doing so, conceives an entirely new business plan"
X,Gamification,"content that provides a game-like experience, usually through an entertainment and reward system.","Turning content into a game-like experience, through entertainment and rewards"
,Gator, To display a company's ad when a person visits a rival company's Web site.,To display a company's ad when a person visits a rival company's Web site
,Gazump,The practice of raising the price of a previously agreed-upon real estate transaction.,A cheeky practice originating from dodgy car salesmen who raised the price after a transaction had already been agreed
,Generation Y,,That awesome millenial force of socially connected and tech savvy people
X,Glocalization,"A product or service that is developed and distributed globally, but is also fashioned to accommodate the user or consumer in a local market. ",Imagine a McDonald's Big Mac with the flavours of Mumbai
,Golden Geese,"A source of lots of money, such as shoppers who are expected to spend a lot or high-income earners who are expected to pay a lot in taxes.","Close cousin of the cash cow, these shoppers sure know how to spend spend spend!"
X,Greenwashing,,"Your so ""eco"" & in love with the Earth that no one believes you"
,Growth Hacker,A role that replaces traditional marketing roles in fast-growing businesses.,A marketing role for trendy technie types.  Circa 2013
X,Keywords,the descriptive words that describe a piece of media. ,Words that best describe a piece of media - often used to identify it in an internet or database search
,Lifetime Value (LTV),The value of the customer to a business over the lifetime of that customers interactions with the business ,The value of the customer to a business over a all future interactions. Calculated by…well I don't know actually
,Low-Hanging Fruit,Easy business to close,Easy business to close
,Meme,"an idea, behavior, or style that spreads from person to person within a culture.","One idea, theme, behaviour or style that spreads from person to person; getting copied with lots of individual twists. Now, do the Harlem Shake..."
,Microblogging,short blog posts (twitter),The art of teensy blog posts with a character limit - think Twitter
,Mindshare,A company's ability to retain a piece of the publics consciousness,Amount of space your company takes up in the public's thoughts - like cerebral real estate!
,Murketing,A form or marketing where the product or service is not mentioned or shown.  Combination of Murky and Marketing,A form or marketing where the product or service is not mentioned or shown.  Combination of Murky and Marketing
,Permission Marketing,A form of marketing where the marketer asks the consumer for permission to send them targeted ads based on personal data supplied by the consumer.,You're going to need permission before doing any of this…
X,Podcast,"an audio program in a compressed digital format, which is deigned to be listened to over the web.","Audio program, compressed digitally to be heard or downloaded over the web"
X,Powerpointless,,"A long, detailed Powerpoint presentation with many graphs, charts and animations but no actual purpose, relevance or significance"
X,PPC,Pay Per Click – Advertisers only pay when a prospect “clicks through” to their site. Theydo not  pay for their ad placement.,No fee for posting these ads.  But things could get expensive if lots of traffic comes through them…
,Push Poll,,"An opinion poll that's there to sway opinions, not measure them"
,Quarterly Charm Deficiency,The bad mood of sales managers towards the end of a quarter.,The bad mood of sales managers towards the end of a quarter
,RSS,an acronym for Really Simple Syndication. This XML based format has become the preferred standard for syndicating content across the web.,"Rich Site Summary - later dubbed Really Simple Syndication - this style of web feed is the preferred way to send out lots of regular updates: blogs and news feeds, for example"
,Sandbagging,when a reps reports a lower number for an opportunity than it is in reality so that if the deal does not close. IT does not reflect as badly on the rep at quarter end the rep is not pressured to close the bigger deal so that sales can make their target.   ,"Underestimating the value of a potential deal to mitigate against high blood pressure at the end of the sales quarter, when hitting those targets is top of the agenda!"
X,SEO,– Search engine optimisation ,Helps to get you just that little bit higher up the google search
,Sheetzophrenic,If your forcast done in your spreadsheet  does not match with the forecast done in your CRM system.,If your forcast done in your spreadsheet  does not match with the forecast done in your CRM system. Oops
,Short Attention Spam,,A well honed ability to detect and delete spam without even opening the email
,Showrooming,when an online store treats brick and mortar stores as their showroom. ,When an online retailer uses physical stores as their showroom: knowing that customers will buy online after they've looked at the product in-store
,Social Graph,"a diagram of the interconnections between people, with the people serving as nodes, and the lines between them showing the connections. ","A diagram of the social connections between people: looks like what would happen if your social network was a giant, tangled constellation"
X,Social media optimization (SMO) ,"Generating publicity through social media to increase awareness of a product, brand or event","Making the most of Facebook, Twitter, Pinterest, Instagram to promote a brand or product"
,Social Notworking,Spending time on social networks during working hours,Spending time on social networks during working hours
,SoLoMo,,"Stuff that works at a local level, on a mobile, in a social way. Sounds like a cocktail"
,Stickiness,anything about a website or content that encourages a visitor to linger longer.,Anything that encourages website visitors to stay a little bit longer
,Twintership,,"An internship offered by digitally backward companies to recent graduates.  ""Do that Twitter thing for us, yeah?"""
,UGC,,When normal people create the content for you
X,Upsell, Increasing a sale amount by positioning a higher value item., Increasing a sale amount by positioning a higher value item
X,USP,Unique Selling Point – your differentiator,That one thing that makes what you sell supposedly unique
,Vanillacide,,Making hundreds of nice little changes to an idea - until it dies of mediocrity
,Viral,,That supposed nirvana where an idea gets passed around exponentially with little (visible) promotion
,Web 2.0,web sites that use technology beyond the static pages of earlier web sites.,"Static, vintage pages from the dark age of web tech: powered by newer technology beyond them"
